# time, h1_signal, l1_signal
3.808593750000000000e-02 1.565884881565368886e-24 -1.737688097565491223e-24
3.857421875000000000e-02 1.701184146313582662e-24 -1.659188082949671204e-24
3.906250000000000000e-02 1.822324167644603515e-24 -1.566856662132978213e-24
3.955078125000000000e-02 1.928260830612959411e-24 -1.461486674162015518e-24
4.003906250000000000e-02 2.018154738985782254e-24 -1.343968504703789765e-24
4.052734375000000000e-02 2.091247379583298335e-24 -1.215244287449302598e-24
4.101562500000000000e-02 2.146901364546388825e-24 -1.076414929608466954e-24
4.150390625000000000e-02 2.184699240885439206e-24 -9.286413115497336628e-25
4.199218750000000000e-02 2.204309006825858558e-24 -7.731187918809688414e-25
4.248046875000000000e-02 2.205545035264271508e-24 -6.111748213095755869e-25
4.296875000000000000e-02 2.188442141224019399e-24 -4.441555610029629338e-25
4.345703125000000000e-02 2.153116738768634808e-24 -2.734212087930818375e-25
4.394531250000000000e-02 2.099847470366612230e-24 -1.004297827395714952e-25
4.443359375000000000e-02 2.029122106221716189e-24 7.338743386791218390e-26
4.492187500000000000e-02 1.941498238893261060e-24 2.466093220720097199e-25
4.541015625000000000e-02 1.837699080902033084e-24 4.177565682981803644e-25
4.589843750000000000e-02 1.718630530108349900e-24 5.854211004087372876e-25
4.638671875000000000e-02 1.585246620150642521e-24 7.482275517624948516e-25
4.687500000000000000e-02 1.438658483810352860e-24 9.047824105978032139e-25
4.736328125000000000e-02 1.280122882130563004e-24 1.053804324018349411e-24
4.785156250000000000e-02 1.110918357760081680e-24 1.194065881899954930e-24
4.833984375000000000e-02 9.324633287541049212e-25 1.324362275888690087e-24
4.882812500000000000e-02 7.462754743307245353e-25 1.443636970967617115e-24
4.931640625000000000e-02 5.538618709026896787e-25 1.550904301800444165e-24
4.980468750000000000e-02 3.568418077135685424e-25 1.645237090478272115e-24
5.029296875000000000e-02 1.568797172736125099e-25 1.725882397210684852e-24
5.078125000000000000e-02 -4.440479830394124296e-26 1.792168030872938410e-24
5.126953125000000000e-02 -2.453119845466904326e-25 1.843510487174151818e-24
5.175781250000000000e-02 -4.441522117999868513e-25 1.879517457046153050e-24
5.224609375000000000e-02 -6.393133447152548030e-25 1.899881541827503962e-24
5.273437500000000000e-02 -8.291391132521414555e-25 1.904407105296852928e-24
5.322265625000000000e-02 -1.012039921845136869e-24 1.893094411692572225e-24
5.371093750000000000e-02 -1.186534681282971842e-24 1.866023322318877813e-24
5.419921875000000000e-02 -1.351135141007297097e-24 1.823398044202433361e-24
5.468750000000000000e-02 -1.504471133595003431e-24 1.765610895709290192e-24
5.517578125000000000e-02 -1.645304023650547441e-24 1.693121426630800948e-24
5.566406250000000000e-02 -1.772420975647770123e-24 1.606518142479738872e-24
5.615234375000000000e-02 -1.884771013607228412e-24 1.506559389313212342e-24
5.664062500000000000e-02 -1.981450705788637844e-24 1.394051184193075831e-24
5.712890625000000000e-02 -2.061612328868012542e-24 1.269922617345767533e-24
5.761718750000000000e-02 -2.124604834092351817e-24 1.135242174007253190e-24
5.810546875000000000e-02 -2.169930527319616569e-24 9.910994474537651996e-25
5.859375000000000000e-02 -2.197168735839973854e-24 8.386929859061999417e-25
5.908203125000000000e-02 -2.206116043219651826e-24 6.793228935593577547e-25
5.957031250000000000e-02 -2.196716257962529874e-24 5.142811825410214703e-25
6.005859375000000000e-02 -2.169003621863004906e-24 3.449484642880868276e-25
6.054687500000000000e-02 -2.123238320106842280e-24 1.727622644874289066e-25
6.103515625000000000e-02 -2.059812240601742437e-24 -8.805931262363090522e-28
6.152343750000000000e-02 -1.979212557069485431e-24 -1.745214632534366232e-25
6.201171875000000000e-02 -1.882146184079518788e-24 -3.466932631577618657e-25
6.250000000000000000e-02 -1.769423901751614630e-24 -5.160008979173194239e-25
6.298828125000000000e-02 -1.641945963197310693e-24 -6.810154096652821117e-25
6.347656250000000000e-02 -1.500812522802529007e-24 -8.403469250098389439e-25
6.396484375000000000e-02 -1.347191971825119776e-24 -9.927056799939584039e-25
6.445312500000000000e-02 -1.182329939145285838e-24 -1.136797348121894295e-24
6.494140625000000000e-02 -1.007641509673240536e-24 -1.271412934641298531e-24
6.542968750000000000e-02 -8.245674431791497120e-25 -1.395467303278259608e-24
6.591796875000000000e-02 -6.346052450248600915e-25 -1.507897814065953256e-24
6.640625000000000000e-02 -4.393799583844203559e-25 -1.607766439278112037e-24
6.689453125000000000e-02 -2.404946894191416615e-25 -1.694273824747166937e-24
6.738281250000000000e-02 -3.958451377333963497e-26 -1.766665211141338735e-24
6.787109375000000000e-02 1.616350094069879095e-25 -1.824341974582542150e-24
6.835937500000000000e-02 3.615170734326063252e-25 -1.866851376629877323e-24
6.884765625000000000e-02 5.584093828763295978e-25 -1.893802846797512617e-24
6.933593750000000000e-02 7.506305379613014262e-25 -1.904983802462805681e-24
6.982421875000000000e-02 9.366140895053346948e-25 -1.900324096020776307e-24
7.031250000000000000e-02 1.114815905517287819e-24 -1.879824740582378847e-24
7.080078125000000000e-02 1.283714488771706440e-24 -1.843673971367547226e-24
7.128906250000000000e-02 1.441942772752038342e-24 -1.792188669986404820e-24
7.177734375000000000e-02 1.588179251151800475e-24 -1.725759168666982887e-24
7.226562500000000000e-02 1.721172156742795654e-24 -1.644961923426400220e-24
7.275390625000000000e-02 1.839855173309438708e-24 -1.550479648064221627e-24
7.324218750000000000e-02 1.943227099216973298e-24 -1.443063098927003132e-24
7.373046875000000000e-02 2.030398949131389934e-24 -1.323635420436560999e-24
7.421875000000000000e-02 2.100688337139337131e-24 -1.193193774743214165e-24
7.470703125000000000e-02 2.153490231443168628e-24 -1.052790309037386059e-24
7.519531250000000000e-02 2.188343780280934515e-24 -9.036258799944798507e-25
7.568359375000000000e-02 2.205001631466065114e-24 -7.469379246840391234e-25
7.617187500000000000e-02 2.203297143406661026e-24 -5.840016128730219067e-25
7.666015625000000000e-02 2.183229725140790198e-24 -4.162091282954257022e-25
7.714843750000000000e-02 2.145007455850081075e-24 -2.449470171167652291e-25
7.763671875000000000e-02 2.088915243592767029e-24 -7.161710218501171452e-26
7.812500000000000000e-02 2.015414387444597616e-24 1.023008815319295251e-25
7.861328125000000000e-02 1.925155650391910445e-24 2.753766427182801996e-25
7.910156250000000000e-02 1.818852417879005958e-24 4.461878725204156664e-25
7.958984375000000000e-02 1.697391415711673868e-24 6.132754656389946019e-25
8.007812500000000000e-02 1.561817250567989824e-24 7.752709590703097268e-25
8.056640625000000000e-02 1.413216559453235121e-24 9.308366578348647623e-25
8.105468750000000000e-02 1.252836580011946917e-24 1.078640847549696875e-24
8.154296875000000000e-02 1.082041372007679885e-24 1.217480619788951666e-24
8.203125000000000000e-02 9.022100425770654530e-25 1.346204708462846277e-24
8.251953125000000000e-02 7.148581382131439764e-25 1.463707975378728636e-24
8.300781250000000000e-02 5.215673935593654183e-25 1.569043917065926084e-24
8.349609375000000000e-02 3.239029612441122046e-25 1.661332516945828114e-24
8.398437500000000000e-02 1.235351049996292497e-25 1.739774566182192892e-24
8.447265625000000000e-02 -7.785353593813816446e-26 1.803750637194038905e-24
8.496093750000000000e-02 -2.786284000082269600e-25 1.852717697679530976e-24
8.544921875000000000e-02 -4.770859222880057317e-25 1.886242288184038386e-24
8.593750000000000000e-02 -6.715662042833894652e-25 1.904081275575283016e-24
8.642578125000000000e-02 -8.604892220336782836e-25 1.906069631169207171e-24
8.691406250000000000e-02 -1.042245623495596204e-24 1.892170508781102689e-24
8.740234375000000000e-02 -1.215323511539494035e-24 1.862535144095256309e-24
8.789062500000000000e-02 -1.378317374081691366e-24 1.817386753394475445e-24
8.837890625000000000e-02 -1.529829647440851475e-24 1.757086651844566400e-24
8.886718750000000000e-02 -1.668607155867095357e-24 1.682171532428805123e-24
8.935546875000000000e-02 -1.793523306984135350e-24 1.593237120323589305e-24
8.984375000000000000e-02 -1.903494572872504163e-24 1.491016923819006140e-24
9.033203125000000000e-02 -1.997621462745054675e-24 1.376394818514606986e-24
9.082031250000000000e-02 -2.075143434768452250e-24 1.250292643005128319e-24
9.130859375000000000e-02 -2.135371546457139096e-24 1.113759660598750772e-24
9.179687500000000000e-02 -2.177827624004437169e-24 9.679613768109883101e-25
9.228515625000000000e-02 -2.202173308706816435e-24 8.140760994965560683e-25
9.277343750000000000e-02 -2.208162002525245984e-24 6.533920982793362997e-25
9.326171875000000000e-02 -2.195772350671300391e-24 4.872725643453662048e-25
